English	English	Synonym	Synonym	Synonym	Synonym	Russian	Russian	Russian	Russian	Russian	Synonym	Synonym	Synonym	Definition	Compare	See_also	See_also	See_also
follow-up						последующее наблюдение	изучение отдаленных результатов	отслеживание						Наблюдение за человеком, группой людей или исходно определенной популяцией, характеристики которых были изначально оценены, для того, чтобы посмотреть, как они изменятся в будущем (например, состояние здоровья и любые относящиеся к здоровью параметры).		clinical follow-up examination (последующее клиническое обследование).			
follow-up study						последующее наблюдение	исследование с отслеживанием							Исследование, в котором отдельные люди или группы, отобранные по определенному признаку (контакт с фактором риска, профилактическое или лечебное вмешательство, наличие определенной характеристики) наблюдаются, чтобы оценить исход воздействия, вмешательства или влияния имеющейся у них характеристики, то есть заболевание.					
follow-up visit						последующее контрольное посещение (визит)									clinical follow-up examination (последующее клиническое обследование).				
fomites						фомиты								Неодушевленные предметы передачи возбудителя инфекции, например, вещи больного и т.д.					
Food and Drug Administration						Управление по контролю качества пищевых продуктов и медикаментов (и косметических средств)								Контрольный орган Министерства здравоохранения и социального обеспечения США.					
for-profit providers						поставщики платных услуг								В эту категорию поставщиков услуг входят частные лица и организации, реализующие услуги или продукцию за деньги.					
framework						структура	основа	схема											
freeze-dried vaccine		lyophilized vaccine				сухая лиофилизированная вакцина										lyophilized vaccine (лиофилизированная вакцина).			
freeze-drying		lyophilization				лиофилизация								Замораживание биологического материала с последующей сушкой в вакууме.					
freezer						морозильная камера								Применяется для хранения биологических препаратов при очень низкой температуре (минус 15 - минус 25°С).					
freeze indicator						индикатор замораживания (вакцин)								Термоиндикатор необратимого действия, представляет собой миниатюрную капсулу (ампулу), наполненную жидкостью. При температуре ниже 0°С капсула разрушается, жидкость разливается, образуя окрашенное пятно на белой бумаге подложки.					
freezing						замораживание								Например, случайное/неумышленное замораживание вакцины (inadvertent freezing).					
freons		chlorofluorocarbons				фреоны					хладоны	хлорфторуглеводороды		Органические газообразные или жидкие соединения, применяются как хладоносители в холодильниках и холодильных установках. Во исполнение требований Монреальского протокола международное сообщество приняло на себя обязательства по ликвидации таких холодильных установок и пенообразователей foaming agents).					
Freund's adjuvant						адъювант Фрейнда													
frequency distribution						плотность распределения					частотное распределение					distribution (распределение).			
front-loaded investment						фасадные инвестиции	инвестиции, работающие на опережение							Принцип, по которому существенные первоначальные инвестиции приводят к более низким долгосрочным затратам и пропорционально большему эффекту по сравнению с капиталовложениями, равномерно распределенными по срокам. ГАВИ и Фонд вакцин стараются найти территории, где заблаговременные инвестиции окупятся за счет сокращения долгосрочных затрат.					
frontloading						авансовое финансирование								Разработанный в рамках Международного механизма финансирования иммунизации (IFFIm) принцип финансирования, благодаря которому удастся ускорить привлечение дополнительных финансовых средств на проведение вакцинации и иммунизации в развивающихся странах.					
fully immunized child						полностью вакцинированный ребенок								Ребенок, получивший все прививки, полагающиеся ему по возрасту в соответствии с национальным календарем прививок.					
fund-raising						привлечение (активный сбор) финансовых ресурсов								Спланированная и согласованная деятельность, целью которой является привлечение внебюджетных финансовых ресурсов на осуществление конкретных проектов, программ, кампаний и т.д.					
funding						финансирование													
gamma globulin						гамма-глобулин										иммуноглобулины (immunoglobulins (Ig)).			
gasket						сальник								Прокладка в холодильных установках, автоклавах и др. устройствах.					
gel electrophoresis						электрофорез в геле								Лабораторный метод.		electrophoresis (электрофорез).			
gene						ген								Структурная и функциональная единица наследственности, контролирующая образование какого-либо признака, представляющая собой отрезок молекулы ДНК.					
gene sequencing		DNA sequencing				расшифровка последовательности ДНК					секвенирование ДНК			Выявление последовательности нуклеотидов в цепи.					
gene-spliced vaccine						генно-инженерная вакцина	рекомбинантная вакцина									recombinant vaccines (рекомбинантные (генно-инженерные) вакцины)			
generalized infection						генерализованная инфекция								Форма инфекционного заболевания, характеризующаяся множественными поражениями органов и тканей человека (животного).					
genome						геном								Генетическая информация, закодированная в клетке. Совокупность всех генов, определяющих структуру и активность организмов.					
genomic sequencing						определение (расшифровка) нуклеотидной последовательности генома								Расшифровка структуры генома путем выявления точной последовательности нуклеотидов					
genotype						генотип								Генетическая конституция - совокупность всех генов, присущих данной особи.					
geometric mean						средняя геометрическая (величина)								Усредненная величина, вычисляемая только для положительных величин путем получения их логарифмов, вычисления средней арифметической, а затем превращения в антилогарифм. Например, средняя геометрическая величина титров (антител) (geometric mean titers ).					
germs		organisms	microorganisms	bugs (coll.)		микроорганизмы										microorganisms (микроорганизмы).			
german measles		rubella				краснуха										rubella (краснуха).			
Global Action Plan on Laboratory Containment of Wild Polioviruses						Глобальный план действий по обеспечению безопасного лабораторного хранения диких полиовирусов													
Global Advisory Committee on Vaccine Safety						Глобальный консультативный комитет по безопасности вакцин								ГККБВ представляет собой научно-консультативный орган, который был учрежден ВОЗ с тем, чтобы проводить достоверные и независимые научно обоснованные оценки безопасности вакцин, оперативно и эффективно решать возникающие в этой связи вопросы, руководствуясь строгими научными доводами.					
Global Alliance for Vaccines and Immunization						Глобальный альянс по вакцинам и иммунизации								Международный альянс, включающий ведущих партнеров в области иммунизации, целью которого является защита детей от инфекций, контролируемых методами вакцинопрофилактики. Альянс разрабатывает и предлагает механизм координации и совершенствования программ иммунизации на международном, региональном и национальном уровнях, а также способствует сотрудничеству между уже существующими и новыми международными инициативами в области вакцинопрофилактики. Оказывает помощь наиболее бедным странам.					
GAVI Added Value						Дополнительная значимость усилий ГАВИ								ГАВИ обращает особое внимание на те участки работы, где ни один из партнеров в одиночку не сумеет работать эффективно или внести посильный вклад в коллективные усилия с участием других партнеров. В этом смысле наиболее перспективными являются четыре направления работы ГАВИ, а именно: координация и создание условий для достижения консенсуса; финансовая помощь странам по линии Фонда вакцин; нововведения; пропаганда и средства коммуникации.					
GAVI Alliance						Альянс ГАВИ													
GAVI Board						Совет ГАВИ								Руководящий орган ГАВИ					
GAVI Fund						Фонд ГАВИ								в прошлом Фонд вакцин (Vaccine Fund) Финансовый орган ГАВИ					
GAVI Principles						Руководящие принципы ГАВИ								Набор основополагающих принципов, которым следует Совет ГАВИ при принятии решений, касающихся выбора направлений деятельности для инвестирования средств Фонда вакцин.					
GAVI Strategic Framework						Основная схема оперативной деятельности ГАВИ													
GAVI Work Plan						План работы ГАВИ								План, отражающий направления деятельности, мероприятия и бюджет Секретариата ГАВИ и партнеров в рамках деятельности ГАВИ.					
global burden of disease						глобальное (мировое) бремя болезни								Оценка всех видов ущерба, наносимых мировому сообществу в целом тем или иным заболеванием.		Burden of disease (бремя болезни).			
Global Immunization Vision and Strategy						Глобальное видение и стратегия иммунизации								ГВСИ представляет собой 10-летний план работы (2006-2015 гг.), составляемый ВОЗ и ЮНИСЕФ при согласовании с широким кругом специалистов в области здравоохранения и иммунизации. При этом ставится задача единообразного восприятия главных целей вакцинопрофилактики на ближайшие годы и достижения договоренности по важнейшим стратегиям и направлениям работы для реализации поставленных целей.					
global network of laboratories						глобальная лабораторная сеть													
GMP certificate						сертификат соответствия GMP								Официальный документ, выданный НКО по месту нахождения производителя и подтверждающий соответствие производственного процесса принятым в стране требованиям.					
goal						цель								Конечный результат планируемых действий или программы. Например, ликвидация полиомиелита в мире к 2000 г.					
good manufacturing practice for medicinal products						правила производства и контроля качества лекарственных средств								В равной мере принципы GMP распространяются и на иммунобиологические препараты, в том числе на вакцины.					
good practice						надлежащая методика	надлежащие навыки	надлежащая практика						Применительно к обеспечению качества это процессы, которые определяются по критериям качества и безопасности на основании наиболее авторитетного экспертного мнения и реализуются в виде методов, процедур или количественных параметров, общепризнанных как оптимальные из всех имеющихся.					
Good Laboratory Practice						Надлежащая лабораторная практика								Процесс надлежащей организации лабораторного дела и обеспечение стандартов определенного качества на всех его этапах. Правила GLP предусматривают получение исходной документации, ясно отражающей проделанную работу и обеспечивающей возможность проверки.					
Good Manufacturing Practice						Надлежащая производственная практика								Часть системы обеспечения качества, которая гарантирует, что на предприятии продукцию производят и контролируют по стандартам качеств, соответствующим ее назначению и требованиям торговой лицензии.					
Good Pharmacy Practice						Надлежащая фармацевтическая (аптечная) практика								Правила розничной торговли медикаментами, предусматривающие отпуск товаров медицинского назначения надлежащего качества, предоставление необходимой информации и советов пациенту, пропаганду рационального назначения и использования лекарств.					
Good Clinical Practice						Надлежащая практика проведения клинических испытаний								Стандарт клинических исследований, охватывающий планирование, проведение, завершение, проверку, анализ результатов, составление отчетов и ведение документации, который обеспечивает научную значимость исследований, их этическую приемлемость и полную документированность клинических характеристик изучаемого лекарственного препарата.					
Good Storage Practice						Надлежащая практика хранения								Процесс правильной организации хранения и обеспечение стандартов на всех этапах содержания запасов участниками канала товародвижения, включая сохранность и рациональное размещение запасов, безопасные методы работы, простоту учета запасов и постоянное обновление запасов.					
gradient of infection						размах инфекции								Совокупность тяжести клинических проявлений инфицирования: от инаппарантной до смертельной формы.					
group-specific antigens						группоспецифические антигены								Иммунологический термин.					
growth rate of population						показатель роста населения (в отсутствие миграции)	показатель естественного прироста населения							Соотношение разницы между числом новорожденных и умерших за год и среднегодовым населением (на тысячу населения).					
guidelines						руководство	методология	(методические) рекомендации											
Guidelines for the safe transport of infectious substances and diagnostic specimens						Руководство ВОЗ по безопасной перевозке инфекционных материалов и диагностических проб													
Guillain-Barre syndrome		Guillain-Barre disease				синдром Гийена-Барре					Болезнь Гийена-Барре(-Штроля)			Острый первичный идиопатический полирадикулоневрит.					
gut immunity						тканевый кишечный иммунитет								Иммунный барьер клеток кишечника.					
Haemophilus influenzae type b						Гемофильная палочка типа b	Haemophilus influenzae типа b							Haemophilus influenzae типа b (Hib) является одной из основных причин пневмоний и бактериальных менингитов у детей. Многие переболевшие тяжелыми формами инфекции становятся инвалидами пожизненно, в частности вследствие задержки в умственном развитии и тугоухости.					
Haemophilus influenza type b vaccine	Hib vaccine					Вакцина против Hib (гемофильной b инфекции)								Применяется для профилактики заболеваний, вызываемых Haemophilus influenzae типа b .					
handling						обращение (с вакцинами)	обработка (проб, данных или грузов)									vaccine handling (обращение с вакциной).			
hapten						гаптен								Низкомолекулярное (обычно до 1 кДа) соединение, несущее одну антигенную детерминанту и способную связываться со специфическими антителами, но само по себе не вызывающее их образования. Приобретает иммуногенность при использовании в виде конъюгата с высокомолекулярным носителем, обычно белком (чужеродным или гомологичным).					
H-antigen		flagellar antigen				Н-антиген					жгутиковый антиген								
Hard-to-reach and remote areas						Труднодоступные и отдаленные территории/районы													
hard water						жесткая вода													
hard water pads						бумага для смягчения жесткой воды													
hazardous waste						опасные отходы								Отходы, обладающие опасными свойствами или содержащие возбудителей инфекционных болезней, либо которые могут представлять непосредственную или потенциальную опасность для окружающей природной среды и здоровья человека самостоятельно или при вступлении в контакт с другими веществами. Такие отходы требуют специальных мер предосторожности при их удалении.					
health						здоровье													
health		public health				здравоохранение					общественное здравоохранение			Усилия, предпринимаемые обществом для защиты, укрепления и восстановления здоровья населения.		Public health (общественное здравоохранение).			
health care						медико-санитарная помощь								Услуги сотрудников служб здравоохранения лицам или группам населения с целью слежения за здоровьем, его укрепления, поддержания или восстановления.					
health-care facility		health facility				лечебно-профилактическое учреждение	медицинское учреждение	лечебное учреждение						Поликлиника, больница, больничный комплекс, диспансер, медпункт и др.					
healthcare waste		hospital waste	biomedical and health-care waste			медицинские отходы								Медицинские отходы - это отработанные предметы медобслуживания, включают в себя заостренные и незаостренные предметы и инструменты, перевязочный материал, части тела, химические вещества, медикаменты, медицинские приборы и др.					
health-care waste management		medical waste management				организация сбора, удаления и переработки медицинских отходов										waste management (организация удаления и переработки отходов).			
health care worker						работник здравоохранения	медработник												
health centre						медико-санитарный центр	медсанчасть	медицинский пункт											
health education						санитарное просвещение								Информирование населения в вопросах здравоохранения. Процесс обучения лица или общества поведению, содействующему укреплению, поддержанию и восстановлению здоровья, предупреждению и прекращению заболеваний.					
health event						событие, связанное со здоровьем								Любое событие, связанное со здоровьем человека (например, проявление определенного заболевания или синдрома, получение вакцины или					
health indicator						показатель здоровья								Доступная прямому измерению переменная, отражающая состояние здоровья лица, группы лиц или общества.					
health infrastructure						инфраструктура системы здравоохранения													
health policy						политика в области здравоохранения	политика здравоохранения							Совокупность принятых решений по проведению определенного курса действий, ориентированного на достижение конкретных целей и решение задач в области укрепления здоровья.					
health post						пункт оказания медицинской помощи	медпункт												
health resources						ресурсы здравоохранения								Это людские, материально-технические и финансовые ресурсы.					
health services						службы здравоохранения								Службы, укомплектованные профессиональными медиками или другими лицами, работающими под их управлением, призванные содействовать укреплению, поддержанию или восстановлению здоровья и профилактике болезней.					
health services research						изучение служб здравоохранения								Интеграция эпидемиологических, социологических, экономических и других аналитических исследований в изучении работы служб здравоохранения, обычно в отношении нужд, спроса, снабжения, использования и конечного результата деятельности этих служб.					
health status						состояние здоровья													
health survey						изучение или исследование состояния здоровья населения								Выборочное исследование с целью получения сведений о состоянии здоровья населения.		immunization coverage survey (выборочная оценка охвата населения прививками), morbidity (mortality) survey (выборочное изучение заболеваемости и смертности).			
heat stability (of vaccine)						термостабильность (вакцины)										vaccine stability (термостабильность вакцины).			
hemagglutination						гемагглютинация								Феномен, лежащий в основе способа определения антител, основанного на агглютинации ими эритроцитов в результате связывания либо с антигенами самих эритроцитов, либо с другими антигенами, искусственно присоединенными к поверхности эритроцитов.					
hemagglutination inhibition test						реакция торможения гемагглютинации								Лабораторный, серологический метод.					
hemolysins						гемолизины								Антитела, вызывающие лизис эритроцитов.					
hepatitis А						гепатит А					Болезнь Боткина								
hepatitis В						гепатит В													
hepatitis В e antigen						антиген e вируса гепатита В								Маркер острого течения инфекционного процесса (активной репликации возбудителя) у лиц, инфицированных вирусом гепатита В.					
hepatitis В immune globulin						иммуноглобулин против гепатита В													
hepatitis В surface antigen						поверхностный антиген вируса гепатита В	австралийский антиген							Маркер, наличие которого в человеческом организме является показателем текущей инфекции ВГВ (у лиц и со свежей, и с хронической инфекцией).					
Hepatitis В vaccine	НерВ					Вакцина против гепатита В	ГепВ												
hepatitis В virus						вирус гепатита В								Исключительно контагиозный вирус, который служит причиной заболевания гепатитом В.					
hepatitis В (virus) core antigen						Сердцевинный антиген (корантиген) гепатита В													
hepatitis С						гепатит С													
hepatitis D		delta hepatitis				гепатит D					дельта-гепатит								
hepatitis Е						гепатит Е													
herd immunity		population immunity	community immunity			коллективный иммунитет								Состояние иммунитета группы лиц или общества.					
heterologous hyperimmune serum						гетерологичная гипериммунная сыворотка													
Hib disease						гемофильная b инфекция	болезнь, вызываемая Hib							Чаще всего проявляется в виде бактериального менингита у детей моложе 5 лет и тяжелой бактериальной пневмонии. Включают в себя также септический артрит, остеомиелит, сепсис и эпиглоттит.					
Hib Initiative						Инициатива в отношении Hib	Инициатива в отношении гемофильной b инфекции							Инициатива призвана оказывать странам методическую поддержку в принятии обоснованных решений в связи с внедрением или продолжением программ вакцинации против Hib с учетом других приоритетных задач здравоохранения.					
Hib Rapid Assessment Tool						Методика экспресс-оценки бремени Hib-инфекции								Оценка, благодаря которой страны в срочном порядке могут получить общенациональные данные о тяжести бремени Hib-инфекции. Методика основана на уточнении числа случаев менингита, вызванного Hib, по отношению к общей численности проживающего в отдельно взятом районе детского населения моложе 5 лет.					
Hib vaccine						вакцина против гемофильной b инфекции										haemophilus influenzae type b vaccine (вакцина против Hib (гемофильной b инфекции)).			
High efficiency particulate air filter (HEPA filter)						Воздушный фильтр высокой эффективности	высокоэффективный сухой воздушный фильтр (НЕРА-фильтр)							Изготовленное по специальной технологии средство для защиты от воздушно-капельной инфекции, применяется для обеззараживания ламинарных потоков воздуха (например, в ламинарных шкафах); эффективность - 99,97%.					
high efficiency particulate air mask						высокоэффективная защитная маска								Изготовленное по специальной технологии средство индивидуальной защиты от воздушно-капельной инфекции.					
high-grade immunity						напряженный иммунитет													
high risk group						группа высокого риска													
high season of poliovirus transmission						сезон высокой (интенсивной) передачи полиовирусов													
Highly-Indebted Poor Countries						Беднейшие страны с большой задолженностью													
historical cohort study		historical prospective study				ретроспективное когортное исследование	историческое когортное исследование							Историческое проспективное исследование или исследование в ретроспективе (prospective study in retrospect) - когортное исследование, проводимое путем реконструкции данных о людях в одном или нескольких периодах прошлого.					
homogenous						гомогенный	однородный												
homologous human hyperimmune globulins						гомологичные человеческие гипериммунные глобулины								Препараты, содержащие специфические антитела в высоких титрах, изготавливаемые из крови лиц, имеющих высокие уровни таких антител.					
homologous pooled human antibody						гомологичные человеческие антитела	нормальные иммуноглобулины человека							Производятся путем выделения фракции IgG антител из крови доноров и используются преимущественно для экстренной профилактики гепатита А и кори.					
horizontal refrigerator						холодильник с дверцей, открывающейся вверх	холодильник с верхней загрузкой (с загрузкой сверху)												
hospital-based infectious diseases surveillance		hospital surveillance				эпиднадзор за инфекционными болезнями на базе инфекционных стационаров	эпиднадзор на базе больницы				больничный эпиднадзор			Эпиднадзор, основанный на учете случаев заболевания или синдрома, выявленных в стационаре.		facility-based routine surveillance (рутинный эпиднадзор на базе лечебного учреждения).			
hospital discharge abstract system						система использования данных о больном после выписки из больницы	система использования данных эпикриза							Извлечение минимального набора данных из истории болезни или выписного эпикриза (discharge summary) с целью сбора статистической информации о больном.					
hospital waste		health-care waste				больничные отходы	медицинские отходы							Удаление больничных отходов (hospital waste disposal).					
host						хозяин (возбудителя инфекции, инвазии)								Человек или животное, включая птиц и членистоногих, в организме которых поддерживается существование возбудителя инфекционной или паразитарной болезни в природных условиях.					
hot case of AFP						горячий случай ОВП								Случай ОВП у ребенка до 5 лет, непривитого или недопривитого, или относящегося к группе высокого риска, или имеющего контакт с лицом из эндемичной по полиомиелиту территории, и имеющего все типичные для полиомиелита симптомы.					
hot spot						горячая точка								Место возникновения напряженной или опасной (эпидемической) ситуации.					
household						хозяйство (подворье)								Один человек и более, проживающие в жилище, т.е. месте, где укрываются от непогоды, спят, готовят пищу, моются и т.д.; эти лица могут быть, а могут не быть семьей. Термин также используется для описания самого жилища.					
household interview survey						выборочный опрос по месту жительства								Сбор информации у репрезентативного числа гражданского неорганизованного населения путем опроса специально подготовленным персоналом в процессе обхода жилищ.					
household sample survey						выборочное обследование домохозяйств								Обследование людей, проживающих в выборке домохозяйств. Жилища можно отбирать различными способами (например, по кластерам или методом случайной выборки в отношении номеров единиц жилищ. ВОД может проводиться методом интервьюирования или анкетирования, при личном общении и по телефону.					
house-to-house vaccination		door-to-door vaccination				подворная вакцинация										door-to-door vaccination (подворная вакцинация).			
human immunodeficiency virus						вирус иммунодефицита человека								Патогенный организм, возбудитель ВИЧ-инфекции, синдрома приобретенного иммунодефицита (СПИДа). Передается через кровь, сыворотку, сперму, ткани и другие биологические жидкости.					
humoral immunity						гуморальный иммунитет								Циркуляция антител в крови, препятствующая возникновению инфекционного заболевания. Определяется содержанием антител в крови. Гуморальный иммунитет служит основным защитным механизмом против микроорганизмов и их токсинов во внеклеточном пространстве.					
hypersensitivity						гиперчувствительность								Иммунологический термин.					
hypogammaglobulinemia						гипогаммаглобулинемия								Пониженное содержание гамма-глобулинов в крови, иммунодефицит.					
ice-lining refrigerator						холодильник с ледовой рубашкой (обшивкой)													
icepack		cold ice pack	icedog			холодовой элемент	хладоэлемент							Хладоэлемент представляет собой плоскую пластиковую, наполненную водой ёмкость, которая после замораживания используется для хранения вакцин в охлажденном состоянии. Хладоэлементы следует закладывать в термоконтейнер или сумку-холодильник в определенном количестве и порядке - вот почему их размер имеет значение.					
chilled icepack						хладоэлемент с охлажденной водой								Используют вместо замороженных хладоэлементов, чтобы не допустить замерзания адсорбированных вакцин					
icepack freezer						морозильник, специально предназначенный для замораживания хладоэлементов													
identification						идентификация								Определение, установление возбудителя.					
idiotype						идиотии								Идиотипом называют структуру, характеризующую антигенные свойства V- области молекулы антител и клеточных рецепторов. Антиидиотипические антитела являются “зеркальным отражением” антигена и поэтому способны вызывать образование антител и цитотоксических клеток, реагирующих с антигеном.					
